CountryName	CountryCode	Time	Time Code	Population_total	Population_ages_0_14 	Population_ages_15_64	Population_ages_over65	Age_dependency_ratio_young	Age_dependency_ratio	Death_rate	Birth_rate
Afghanistan	AFG	1990	YR1990	11731193	48.65882111	49.46857452	1.872605801	98.36309078	3.7854452	16.315	50.467
Afghanistan	AFG	2000	YR2000	20595360	49.46427917	48.49277878	2.042945623	102.0033919	4.212886375	12.307	49.999
Afghanistan	AFG	2005	YR2005	24860855	49.3094902	48.65489197	2.035617828	101.3453927	4.183788687	10.55	45.078
Afghanistan	AFG	2006	YR2006	25631282	49.27954483	48.67228699	2.048165321	101.2476463	4.208072716	10.158	43.763
Afghanistan	AFG	2007	YR2007	26349243	49.24967575	48.68465805	2.065664768	101.1605671	4.242947811	9.767	42.361
Afghanistan	AFG	2008	YR2008	27032197	49.16675568	48.74339676	2.089844942	100.8685446	4.287442157	9.386	40.899
Afghanistan	AFG	2009	YR2009	27708187	48.96450043	48.91277695	2.122715473	100.1057416	4.33979761	9.023	39.414
Afghanistan	AFG	2010	YR2010	28397812	48.60289764	49.23207092	2.165029526	98.7220216	4.397599828	8.684	37.952
Afghanistan	AFG	2011	YR2011	29105480	48.07777405	49.70506287	2.217166662	96.72611203	4.460645569	8.375	36.556
Afghanistan	AFG	2012	YR2012	29824536	47.41543579	50.3073349	2.277222395	94.25153905	4.526620994	8.095	35.254
Afghanistan	AFG	2013	YR2013	30551674	46.62371037	51.0277211	2.348568527	91.36937603	4.602534615	7.845	34.065
Afghanistan	AFG	2014	YR2014	31280518	45.79411377	51.79782189	2.408064342	88.40934251	4.648968343	0	0
Albania	ALB	1990	YR1990	3286542	34.02962494	60.95114517	5.019231796	55.83098915	8.234836024	5.705	25.225
Albania	ALB	2000	YR2000	3089027	30.34096146	62.83787155	6.821166515	48.28448507	10.85519961	5.727	18.938
Albania	ALB	2005	YR2005	3011487	26.52795792	64.93399811	8.538043976	40.85372433	13.14879884	5.873	14.474
Albania	ALB	2006	YR2006	2992547	25.75430679	65.36235809	8.883205414	39.40237188	13.59070224	6.013	13.788
Albania	ALB	2007	YR2007	2970017	25.01208115	65.7706604	9.217326164	38.02923108	14.01433398	6.167	13.255
Albania	ALB	2008	YR2008	2947314	24.28961754	66.17556	9.534791946	36.70479214	14.40831172	6.321	12.885
Albania	ALB	2009	YR2009	2927519	23.56542015	66.60411835	9.83049202	35.38132203	14.75961203	6.466	12.674
Albania	ALB	2010	YR2010	2913021	22.82801056	67.06977844	10.10220814	34.03621842	15.06221091	6.596	12.607
Albania	ALB	2011	YR2011	2904780	22.07596207	67.57803345	10.34610367	32.66736051	15.30988648	6.71	12.651
